time, objectID, x, y, class
2548.9437,0,1.05,0.51,2
2549.0439,0,1.02,0.48,2
2549.1441,0,1.02,0.48,2
2549.2437,0,1.02,0.48,2
2549.3439,0,0.96,0.45,2
2549.0439,1,38.1,12.45,2
2549.1441,1,38.07,12.45,2
2549.2437,1,38.07,12.42,2
2549.3439,1,38.07,12.42,2
2549.4441,1,38.07,12.42,2
2549.5436,1,38.04,12.42,2
2549.6438,1,38.04,12.42,2
2549.744,1,38.07,12.42,2
2549.8442,1,38.04,12.39,2
2549.9437,1,38.07,12.39,2
2550.0439,1,38.16,12.36,2
2548.9437,2,16.83,6.66,2
2549.0439,2,16.8,6.66,2
2549.1441,2,16.8,6.66,2
2549.2437,2,16.8,6.66,2
2549.3439,2,16.74,6.69,2
2549.4441,2,16.68,6.81,2
2549.5436,2,16.5,6.9,2
2549.6438,2,16.32,6.99,2
2549.744,2,16.26,7.17,2
2549.8442,2,16.29,7.29,2
2549.9437,2,16.38,7.44,2
2550.0439,2,16.47,7.59,2
2550.1441,2,16.38,7.71,2
2550.2436,2,16.53,7.89,2
2549.9437,3,15.33,7.14,2
2550.0439,3,15.3,7.14,2
2550.1441,3,15.3,7.14,2
2550.2436,3,15.3,7.14,2
2550.3438,3,15.24,7.14,2
2548.9437,4,17.4,2.67,2
2549.0439,4,17.4,2.64,2
2549.1441,4,17.4,2.64,2
2549.2437,4,17.4,2.64,2
2549.3439,4,17.43,2.58,2
2549.4441,4,17.49,2.49,2
2549.6438,4,17.73,2.13,2
2549.8442,4,17.97,1.74,2
2549.9437,4,18.03,1.62,2
2550.0439,4,18.09,1.47,2
2550.1441,4,18.09,1.32,2
2550.2436,4,18.15,1.23,2
2550.444,4,18.27,0.9,2
2550.6438,4,18.42,0.63,2
2550.744,4,18.48,0.57,2
2549.1441,5,44.1,10.08,2
2549.2437,5,44.1,10.05,2
2549.3439,5,44.1,10.05,2
2549.4441,5,44.1,10.05,2
2549.5436,5,44.1,10.05,2
2549.744,5,44.1,10.02,2
2549.8442,5,44.1,10.05,2
2549.9437,5,44.13,10.02,2
2550.0439,5,44.13,10.02,2
2550.1441,5,44.13,10.02,2
2550.3438,5,44.19,9.99,2
2550.444,5,44.16,9.99,2
2550.5436,5,44.16,9.99,2
2550.6438,5,44.13,9.99,2
2550.744,5,44.13,9.96,2
2550.2436,6,14.01,13.05,2
2550.6438,6,14.07,13.38,2
2550.744,6,14.13,13.32,2
2550.8435,6,14.25,13.23,2
2551.0439,6,14.34,13.14,2
2550.5436,7,12.48,15.72,2
2550.744,7,12.48,15.69,2
2550.8435,7,12.51,15.69,2
2550.9437,7,12.51,15.63,2
2551.0439,7,12.6,15.63,2
2550.744,8,34.86,10.95,2
2550.8435,8,34.83,10.92,2
2550.9437,8,34.86,10.92,2
2551.2436,8,34.83,11.04,2
2551.3438,8,34.86,11.01,2
2550.3438,9,15.27,13.89,2
2550.444,9,15.24,13.89,2
2550.5436,9,15.24,13.89,2
2550.6438,9,15.24,13.89,2
2550.744,9,15.24,13.89,2
