time, objectID, x, y, class
2548.9437,0,8.35,25.35,1
2549.1441,0,8,25.1,1
2549.2437,0,7.4,24.7,1
2549.6438,0,2.3,21.35,1
2549.2437,1,23.2,17.55,1
2549.3439,1,23.2,17.5,1
2549.4441,1,23.2,17.5,1
2549.5436,1,23.2,17.45,1
2550.0439,1,25.55,15.95,1
2550.1441,1,26.15,15.6,1
2550.2436,1,26.55,15.45,1
2550.3438,1,27.5,15,1
2550.444,1,28.2,14.55,1
2550.5436,1,28.6,14.25,1
2550.6438,1,28.85,14.1,1
2550.744,1,29.15,13.85,1
2550.9437,2,0.85,20.55,1
2551.2436,2,0.8,20.5,1
2551.3438,2,0.75,20.45,1
2551.444,2,0.8,20.35,1
2551.5435,2,0.8,20.3,1
2548.9437,3,27.75,14.5,1
2549.0439,3,27.75,14.45,1
2549.1441,3,27.75,14.45,1
2549.2437,3,27.8,14.45,1
2549.3439,3,27.9,14.4,1
2549.4441,3,28.05,14.4,1
2549.5436,3,28.3,14.35,1
2549.6438,3,29.15,13.95,1
2549.744,3,30,13.3,1
2549.8442,3,30.7,12.7,1
2549.9437,3,31.2,12.3,1
2550.0439,3,31.55,12,1
2550.1441,3,31.8,11.85,1
2550.2436,3,31.9,11.7,1
2550.3438,3,31.95,11.6,1
2550.444,3,31.9,11.6,1
2550.5436,3,31.85,11.65,1
2550.6438,3,31.8,11.7,1
2550.744,3,31.7,11.75,1
2550.8435,3,31.65,11.8,1
2550.9437,3,31.55,11.85,1
2551.0439,3,31.55,11.9,1
2551.1441,3,31.5,11.9,1
2551.2436,3,31.65,11.9,1
2551.3438,3,31.5,11.95,1
2551.444,3,31.45,11.85,1
2551.5435,3,31.65,11.75,1
2551.6437,3,32.1,11.6,1
2550.1441,4,40.45,16.15,1
2550.2436,4,40.4,16.1,1
2550.3438,4,40.4,16.1,1
2550.444,4,40.4,16.1,1
2550.5436,4,40.4,16,1
2550.8435,4,40.2,15.6,1
2550.9437,4,40.2,15.5,1
2551.444,4,39.8,15.4,1
2551.5435,4,39.8,15.4,1
2551.6437,4,39.7,15.45,1
2552.0439,4,40.1,15.5,1
2550.744,5,35.95,9.4,1
2550.8435,5,35.9,9.35,1
2550.9437,5,35.95,9.35,1
2551.0439,5,36,9.35,1
2551.1441,5,36.1,9.2,1
2551.2436,5,36.35,8.95,1
2551.3438,5,36.75,8.65,1
2551.444,5,36.4,8.85,1
2551.5435,5,36.05,9.05,1
2551.6437,5,35.7,9.25,1
2551.7439,5,35.4,9.45,1
2551.8441,5,35.3,9.55,1
2551.9437,5,35.3,9.6,1
2552.0439,5,35.35,9.65,1
2552.144,5,36.05,9.15,1
2552.2436,5,36.65,8.75,1
2552.3438,5,37.15,8.35,1
2552.444,5,37.65,7.85,1
2552.5435,5,38.05,7.6,1
2551.0439,6,32.35,27.35,1
2551.1441,6,32.3,27.35,1
2551.2436,6,32.35,27.3,1
2551.3438,6,32.4,27.25,1
2551.7439,6,32.55,27.15,1
2551.8441,6,32.45,27.2,1
2551.9437,6,32.45,27.2,1
2552.0439,6,32.5,27.1,1
2552.144,6,32.4,27.15,1
2552.2436,6,32.35,27.15,1
2552.3438,6,32.4,27.1,1
2552.444,6,32.4,27.1,1
2552.5435,6,32.4,27.1,1
2552.6437,6,32.4,27.05,1
2552.7439,6,32.4,27.1,1
2552.8441,6,33.2,26.5,1
2552.9436,6,33.8,26.05,1
2553.0438,6,34.25,25.7,1
2553.144,6,34.55,25.4,1
2548.9437,7,15.4,18.1,1
2549.0439,7,15.4,18.05,1
2549.1441,7,15.4,18.05,1
2549.2437,7,15.45,18,1
2549.3439,7,15.6,17.85,1
2549.4441,7,15.8,17.65,1
2549.5436,7,16.2,17.2,1
2549.6438,7,16.85,16.7,1
2549.744,7,17.55,16.25,1
2549.8442,7,18.1,15.85,1
2549.9437,7,18.75,15.35,1
2550.0439,7,19.35,14.9,1
2550.1441,7,19.9,14.55,1
2550.2436,7,20.5,14.15,1
2550.3438,7,21.1,13.75,1
2550.444,7,21.6,13.4,1
2550.5436,7,22.1,13.05,1
2550.6438,7,22.55,12.7,1
2550.744,7,23,12.4,1
2550.8435,7,23.5,12,1
2550.9437,7,23.95,11.75,1
2551.0439,7,24.45,11.5,1
2551.1441,7,24.9,11.2,1
2551.2436,7,25.35,11,1
2551.3438,7,25.85,10.65,1
2551.444,7,26.45,10.3,1
2551.5435,7,26.95,10.1,1
2551.8441,7,28.7,9.2,1
2551.9437,7,29,8.95,1
2552.0439,7,29.35,8.75,1
2552.144,7,29.95,8.45,1
2552.2436,7,30.4,8.25,1
2552.3438,7,30.8,7.9,1
2552.444,7,31.3,7.45,1
2552.5435,7,31.8,7.05,1
2552.6437,7,32.35,6.6,1
2552.7439,7,32.85,6.1,1
2552.8441,7,33.45,5.8,1
2552.9436,7,34.05,5.35,1
2553.0438,7,34.6,4.95,1
2553.144,7,35.15,4.6,1
2553.2442,7,35.6,4.25,1
2553.3438,7,36.2,3.9,1
2550.444,8,15.65,21.35,1
2550.5436,8,15.65,21.35,1
2550.744,8,15.7,21.35,1
2550.8435,8,15.8,21.45,1
2550.9437,8,16,21.5,1
2551.0439,8,15.9,21.4,1
2551.1441,8,16.3,21.65,1
2551.2436,8,16.6,21.75,1
2551.3438,8,17.6,21.3,1
2551.444,8,18.5,20.85,1
2551.7439,8,20.65,19.65,1
2551.8441,8,21.15,19.3,1
2551.9437,8,21.2,19.1,1
2552.0439,8,22.05,18.6,1
2552.144,8,22.35,18.4,1
2552.2436,8,22.95,18.05,1
2552.3438,8,23.4,17.8,1
2552.444,8,23.9,17.45,1
2552.5435,8,24.3,17.1,1
2552.6437,8,24.65,16.9,1
2552.7439,8,25.35,16.75,1
2552.8441,8,25.85,16.6,1
2553.144,8,28.05,15.65,1
2553.2442,8,28.45,15.55,1
2553.4439,8,28.9,14.9,1
2553.6437,8,28.65,14.35,1
2553.7439,8,28.45,14.25,1
2553.8441,8,28.95,14.15,1
2553.9436,8,29.25,14.05,1
2553.0438,9,0.75,20.25,1
2553.144,9,0.75,20.25,1
2553.3438,9,0.75,20.25,1
2553.4439,9,0.75,20.25,1
2553.7439,9,0.7,20.3,1
2553.9436,9,0.7,20.25,1
2550.1441,10,13,14.95,1
2550.2436,10,13,14.9,1
2550.3438,10,13,14.9,1
2550.5436,10,13.05,14.9,1
2550.6438,10,13.15,14.85,1
2550.744,10,13.25,14.85,1
2550.8435,10,13.35,14.75,1
2550.9437,10,13.45,14.65,1
2551.0439,10,13.6,14.6,1
2551.1441,10,13.7,14.6,1
2551.2436,10,13.75,14.55,1
2551.3438,10,13.85,14.45,1
2551.444,10,13.9,14.4,1
