,time,TopTrafficLights,BottomTrafficLights,rightTrafficlights,1to2Ped,4to3Ped,2to3Ped,1to4Ped
0,2548.9,red,red,green,green,green,red,red
1,2549,red,red,green,green,green,red,red
2,2549.1,red,red,green,green,green,red,red
3,2549.2,red,red,green,green,green,red,red
4,2549.3,red,red,green,green,green,red,red
5,2549.4,red,red,green,green,green,red,red
6,2549.5,red,red,green,green,green,red,red
7,2549.6,red,red,green,green,green,red,red
8,2549.7,red,red,green,green,green,red,red
9,2549.8,red,red,green,green,green,red,red
10,2549.9,red,red,green,green,green,red,red
11,2550,red,red,green,green,green,red,red
12,2550.1,red,red,green,green,green,red,red
13,2550.2,red,red,green,green,green,red,red
14,2550.3,red,red,green,green,green,red,red
15,2550.4,red,red,green,green,green,red,red
16,2550.5,red,red,green,green,green,red,red
17,2550.6,red,red,green,green,green,red,red
18,2550.7,red,red,green,green,green,red,red
19,2550.8,red,red,green,green,green,red,red
20,2550.9,red,red,green,green,green,red,red
21,2551,red,red,green,green,green,red,red
22,2551.1,red,red,green,green,green,red,red
23,2551.2,red,red,green,green,green,red,red
24,2551.3,red,red,green,green,green,red,red
25,2551.4,red,red,green,green,green,red,red
26,2551.5,red,red,green,green,green,red,red
27,2551.6,red,red,green,green,green,red,red
28,2551.7,red,red,green,green,green,red,red
29,2551.8,red,red,green,green,green,red,red
30,2551.9,red,red,green,green,green,red,red
31,2552,red,red,green,green,green,red,red
32,2552.1,red,red,green,green,green,red,red
33,2552.2,red,red,green,green,green,red,red
34,2552.3,red,red,green,green,green,red,red
35,2552.4,red,red,green,green,green,red,red
36,2552.5,red,red,green,green,green,red,red
37,2552.6,red,red,green,green,green,red,red
38,2552.7,red,red,green,green,green,red,red
39,2552.8,red,red,green,green,green,red,red
40,2552.9,red,red,green,green,green,red,red
41,2553,red,red,green,green,green,red,red
42,2553.1,red,red,green,green,green,red,red
43,2553.2,red,red,green,green,green,red,red
44,2553.3,red,red,green,green,green,red,red
45,2553.4,red,red,green,green,green,red,red
46,2553.5,red,red,green,green,green,red,red
47,2553.6,red,red,green,green,green,red,red
48,2553.7,red,red,green,green,green,red,red
49,2553.8,red,red,green,green,green,red,red
50,2553.9,red,red,green,green,green,red,red
51,2554,red,red,green,green,green,red,red
52,2554.1,red,red,green,green,green,red,red
53,2554.2,red,red,green,green,green,red,red
54,2554.3,red,red,green,green,green,red,red
55,2554.4,red,red,green,green,green,red,red
56,2554.5,red,red,green,green,green,red,red
57,2554.6,red,red,green,green,green,red,red
58,2554.7,red,red,green,green,green,red,red
59,2554.8,red,red,green,green,green,red,red
60,2554.9,red,red,green,green,green,red,red
61,2555,green,green,red,red,red,green,green
62,2555.1,green,green,red,red,red,green,green
63,2555.2,green,green,red,red,red,green,green
64,2555.3,green,green,red,red,red,green,green
65,2555.4,green,green,red,red,red,green,green
66,2555.5,green,green,red,red,red,green,green
67,2555.6,green,green,red,red,red,green,green
68,2555.7,green,green,red,red,red,green,green
69,2555.8,green,green,red,red,red,green,green
70,2555.9,green,green,red,red,red,green,green
71,2556,green,green,red,red,red,green,green
72,2556.1,green,green,red,red,red,green,green
73,2556.2,green,green,red,red,red,green,green
74,2556.3,green,green,red,red,red,green,green
75,2556.4,green,green,red,red,red,green,green
76,2556.5,green,green,red,red,red,green,green
77,2556.6,green,green,red,red,red,green,green
78,2556.7,green,green,red,red,red,green,green
79,2556.8,green,green,red,red,red,green,green
80,2556.9,green,green,red,red,red,green,green
81,2557,green,green,red,red,red,green,green
82,2557.1,green,green,red,red,red,green,green
83,2557.2,green,green,red,red,red,green,green
84,2557.3,green,green,red,red,red,green,green
85,2557.4,green,green,red,red,red,green,green
86,2557.5,green,green,red,red,red,green,green
87,2557.6,green,green,red,red,red,green,green
88,2557.7,green,green,red,red,red,green,green
89,2557.8,green,green,red,red,red,green,green
90,2557.9,green,green,red,red,red,green,green
91,2558,green,green,red,red,red,green,green
92,2558.1,green,green,red,red,red,green,green
93,2558.2,green,green,red,red,red,green,green
94,2558.3,green,green,red,red,red,green,green
95,2558.4,green,green,red,red,red,green,green
96,2558.5,green,green,red,red,red,green,green
97,2558.6,green,green,red,red,red,green,green
98,2558.7,green,green,red,red,red,green,green
99,2558.8,green,green,red,red,red,green,green
100,2558.9,green,green,red,red,red,green,green
101,2559,green,green,red,red,red,green,green
102,2559.1,green,green,red,red,red,green,green
103,2559.2,green,green,red,red,red,green,green
104,2559.3,green,green,red,red,red,green,green
105,2559.4,green,green,red,red,red,green,green
106,2559.5,green,green,red,red,red,green,green
107,2559.6,green,green,red,red,red,green,green
108,2559.7,green,green,red,red,red,green,green
109,2559.8,green,green,red,red,red,green,green
110,2559.9,green,green,red,red,red,green,green
111,2560,green,green,red,red,red,green,green
112,2560.1,green,green,red,red,red,green,green
113,2560.2,green,green,red,red,red,green,green
114,2560.3,green,green,red,red,red,green,green
115,2560.4,green,green,red,red,red,green,green
116,2560.5,green,green,red,red,red,green,green
117,2560.6,green,green,red,red,red,green,green
118,2560.7,green,green,red,red,red,green,green
119,2560.8,green,green,red,red,red,green,green
120,2560.9,green,green,red,red,red,green,green
121,2561,green,green,red,red,red,green,green
122,2561.1,green,green,red,red,red,green,green
123,2561.2,green,green,red,red,red,green,green
124,2561.3,green,green,red,red,red,green,green
125,2561.4,green,green,red,red,red,green,green
126,2561.5,green,green,red,red,red,green,green
127,2561.6,green,green,red,red,red,green,green
128,2561.7,green,green,red,red,red,green,green
129,2561.8,green,green,red,red,red,green,green
130,2561.9,green,green,red,red,red,green,green
131,2562,green,green,red,red,red,green,green
132,2562.1,green,green,red,red,red,green,green
133,2562.2,green,green,red,red,red,green,green
134,2562.3,green,green,red,red,red,green,green
135,2562.4,green,green,red,red,red,green,green
136,2562.5,green,green,red,red,red,green,green
137,2562.6,red,red,green,green,green,red,red
138,2562.7,red,red,green,green,green,red,red
139,2562.8,red,red,green,green,green,red,red
140,2562.9,red,red,green,green,green,red,red
141,2563,red,red,green,green,green,red,red
142,2563.1,red,red,green,green,green,red,red
143,2563.2,red,red,green,green,green,red,red
144,2563.3,red,red,green,green,green,red,red
145,2563.4,red,red,green,green,green,red,red
146,2563.5,red,red,green,green,green,red,red
147,2563.6,red,red,green,green,green,red,red
148,2563.7,red,red,green,green,green,red,red
149,2563.8,red,red,green,green,green,red,red
150,2563.9,red,red,green,green,green,red,red
151,2564,red,red,green,green,green,red,red
152,2564.1,red,red,green,green,green,red,red
153,2564.2,red,red,green,green,green,red,red
154,2564.3,red,red,green,green,green,red,red
155,2564.4,red,red,green,green,green,red,red
156,2564.5,red,red,green,green,green,red,red
157,2564.6,red,red,green,green,green,red,red
158,2564.7,red,red,green,green,green,red,red
159,2564.8,red,red,green,green,green,red,red
160,2564.9,red,red,green,green,green,red,red
161,2565,red,red,green,green,green,red,red
162,2565.1,red,red,green,green,green,red,red
163,2565.2,red,red,green,green,green,red,red
164,2565.3,red,red,green,green,green,red,red
165,2565.4,red,red,green,green,green,red,red
166,2565.5,red,red,green,green,green,red,red
167,2565.6,red,red,green,green,green,red,red
168,2565.7,red,red,green,green,green,red,red
169,2565.8,red,red,green,green,green,red,red
170,2565.9,red,red,green,green,green,red,red
171,2566,red,red,green,green,green,red,red
172,2566.1,red,red,green,green,green,red,red
173,2566.2,red,red,green,green,green,red,red
174,2566.3,red,red,green,green,green,red,red
175,2566.4,red,red,green,green,green,red,red
176,2566.5,red,red,green,green,green,red,red
177,2566.6,red,red,green,green,green,red,red
178,2566.7,red,red,green,green,green,red,red
179,2566.8,red,red,green,green,green,red,red
180,2566.9,red,red,green,green,green,red,red
181,2567,red,red,green,green,green,red,red
182,2567.1,red,red,green,green,green,red,red
183,2567.2,red,red,green,green,green,red,red
184,2567.3,red,red,green,green,green,red,red
185,2567.4,red,red,green,green,green,red,red
186,2567.5,red,red,green,green,green,red,red
187,2567.6,red,red,green,green,green,red,red
188,2567.7,red,red,green,green,green,red,red
189,2567.8,red,red,green,green,green,red,red
190,2567.9,red,red,green,green,green,red,red
191,2568,red,red,green,green,green,red,red
192,2568.1,red,red,green,green,green,red,red
193,2568.2,red,red,green,green,green,red,red
194,2568.3,red,red,green,green,green,red,red
195,2568.4,red,red,green,green,green,red,red
196,2568.5,red,red,green,green,green,red,red
197,2568.6,red,red,green,green,green,red,red
198,2568.7,red,red,green,green,green,red,red
199,2568.8,red,red,green,green,green,red,red
200,2568.9,red,red,green,green,green,red,red
201,2569,red,red,green,green,green,red,red
202,2569.1,red,red,green,green,green,red,red
203,2569.2,red,red,green,green,green,red,red
204,2569.3,red,red,green,green,green,red,red
205,2569.4,red,red,green,green,green,red,red
206,2569.5,red,red,green,green,green,red,red
207,2569.6,red,red,green,green,green,red,red
208,2569.7,red,red,green,green,green,red,red
209,2569.8,red,red,green,green,green,red,red
210,2569.9,red,red,green,green,green,red,red
211,2570,red,red,green,green,green,red,red
212,2570.1,red,red,green,green,green,red,red
213,2570.2,red,red,green,green,green,red,red
214,2570.3,red,red,green,green,green,red,red
215,2570.4,red,red,green,green,green,red,red
216,2570.5,red,red,green,green,green,red,red
217,2570.6,red,red,green,green,green,red,red
218,2570.7,red,red,green,green,green,red,red
219,2570.8,red,red,green,green,green,red,red
220,2570.9,red,red,green,green,green,red,red
221,2571,red,red,green,green,green,red,red
222,2571.1,red,red,green,green,green,red,red
223,2571.2,red,red,green,green,green,red,red
224,2571.3,red,red,green,green,green,red,red
225,2571.4,red,red,green,green,green,red,red
226,2571.5,red,red,green,green,green,red,red
227,2571.6,red,red,green,green,green,red,red
228,2571.7,red,red,green,green,green,red,red
229,2571.8,red,red,green,green,green,red,red
230,2571.9,red,red,green,green,green,red,red
231,2572,red,red,green,green,green,red,red
232,2572.1,red,red,green,green,green,red,red
233,2572.2,red,red,green,green,green,red,red
234,2572.3,red,red,green,green,green,red,red
235,2572.4,red,red,green,green,green,red,red
236,2572.5,red,red,green,green,green,red,red
237,2572.6,red,red,green,green,green,red,red
238,2572.7,red,red,green,green,green,red,red
239,2572.8,red,red,green,green,green,red,red
240,2572.9,red,red,green,green,green,red,red
241,2573,red,red,green,green,green,red,red
242,2573.1,red,red,green,green,green,red,red
243,2573.2,red,red,green,green,green,red,red
244,2573.3,red,red,green,green,green,red,red
245,2573.4,red,red,green,green,green,red,red
246,2573.5,red,red,green,green,green,red,red
247,2573.6,red,red,green,green,green,red,red
248,2573.7,red,red,green,green,green,red,red
249,2573.8,red,red,green,green,green,red,red
250,2573.9,red,red,green,green,green,red,red
251,2574,red,red,green,green,green,red,red
252,2574.1,red,red,green,green,green,red,red
253,2574.2,red,red,green,green,green,red,red
254,2574.3,red,red,green,green,green,red,red
255,2574.4,red,red,green,green,green,red,red
256,2574.5,red,red,green,green,green,red,red
257,2574.6,red,red,green,green,green,red,red
258,2574.7,red,red,green,green,green,red,red
259,2574.8,red,red,green,green,green,red,red
260,2574.9,red,red,green,green,green,red,red
261,2575,red,red,green,green,green,red,red
262,2575.1,red,red,green,green,green,red,red
263,2575.2,red,red,green,green,green,red,red
264,2575.3,red,red,green,green,green,red,red
265,2575.4,red,red,green,green,green,red,red
266,2575.5,red,red,green,green,green,red,red
267,2575.6,red,red,green,green,green,red,red
268,2575.7,red,red,green,green,green,red,red
269,2575.8,red,red,green,green,green,red,red
270,2575.9,red,red,green,green,green,red,red
271,2576,red,red,green,green,green,red,red
272,2576.1,red,red,green,green,green,red,red
273,2576.2,green,green,red,red,red,green,green
274,2576.3,green,green,red,red,red,green,green
275,2576.4,green,green,red,red,red,green,green
276,2576.5,green,green,red,red,red,green,green
277,2576.6,green,green,red,red,red,green,green
278,2576.7,green,green,red,red,red,green,green
279,2576.8,green,green,red,red,red,green,green
280,2576.9,green,green,red,red,red,green,green
281,2577,green,green,red,red,red,green,green
282,2577.1,green,green,red,red,red,green,green
283,2577.2,green,green,red,red,red,green,green
284,2577.3,green,green,red,red,red,green,green
285,2577.4,green,green,red,red,red,green,green
286,2577.5,green,green,red,red,red,green,green
287,2577.6,green,green,red,red,red,green,green
288,2577.7,green,green,red,red,red,green,green
289,2577.8,green,green,red,red,red,green,green
290,2577.9,green,green,red,red,red,green,green
291,2578,green,green,red,red,red,green,green
292,2578.1,green,green,red,red,red,green,green
293,2578.2,green,green,red,red,red,green,green
294,2578.3,green,green,red,red,red,green,green
295,2578.4,green,green,red,red,red,green,green
296,2578.5,green,green,red,red,red,green,green
297,2578.6,green,green,red,red,red,green,green
298,2578.7,green,green,red,red,red,green,green
299,2578.8,green,green,red,red,red,green,green
300,2578.9,green,green,red,red,red,green,green
301,2579,green,green,red,red,red,green,green
302,2579.1,green,green,red,red,red,green,green
303,2579.2,green,green,red,red,red,green,green
304,2579.3,green,green,red,red,red,green,green
305,2579.4,green,green,red,red,red,green,green
306,2579.5,green,green,red,red,red,green,green
307,2579.6,green,green,red,red,red,green,green
308,2579.7,green,green,red,red,red,green,green
309,2579.8,green,green,red,red,red,green,green
310,2579.9,green,green,red,red,red,green,green
311,2580,green,green,red,red,red,green,green
312,2580.1,green,green,red,red,red,green,green
313,2580.2,green,green,red,red,red,green,green
314,2580.3,green,green,red,red,red,green,green
315,2580.4,green,green,red,red,red,green,green
316,2580.5,green,green,red,red,red,green,green
317,2580.6,green,green,red,red,red,green,green
318,2580.7,green,green,red,red,red,green,green
319,2580.8,green,green,red,red,red,green,green
320,2580.9,green,green,red,red,red,green,green
321,2581,green,green,red,red,red,green,green
322,2581.1,green,green,red,red,red,green,green
323,2581.2,green,green,red,red,red,green,green
324,2581.3,green,green,red,red,red,green,green
325,2581.4,green,green,red,red,red,green,green
326,2581.5,green,green,red,red,red,green,green
327,2581.6,green,green,red,red,red,green,green
328,2581.7,green,green,red,red,red,green,green
329,2581.8,green,green,red,red,red,green,green
330,2581.9,green,green,red,red,red,green,green
331,2582,green,green,red,red,red,green,green
332,2582.1,green,green,red,red,red,green,green
333,2582.2,green,green,red,red,red,green,green
334,2582.3,green,green,red,red,red,green,green
335,2582.4,green,green,red,red,red,green,green
336,2582.5,green,green,red,red,red,green,green
337,2582.6,green,green,red,red,red,green,green
338,2582.7,green,green,red,red,red,green,green
339,2582.8,green,green,red,red,red,green,green
340,2582.9,green,green,red,red,red,green,green
341,2583,green,green,red,red,red,green,green
342,2583.1,green,green,red,red,red,green,green
343,2583.2,green,green,red,red,red,green,green
344,2583.3,green,green,red,red,red,green,green
345,2583.4,green,green,red,red,red,green,green
346,2583.5,green,green,red,red,red,green,green
347,2583.6,green,green,red,red,red,green,green
348,2583.7,green,green,red,red,red,green,green
349,2583.8,green,green,red,red,red,green,green
350,2583.9,green,green,red,red,red,green,green
351,2584,green,green,red,red,red,green,green
352,2584.1,green,green,red,red,red,green,green
353,2584.2,green,green,red,red,red,green,green
354,2584.3,green,green,red,red,red,green,green
355,2584.4,green,green,red,red,red,green,green
356,2584.5,green,green,red,red,red,green,green
357,2584.6,green,green,red,red,red,green,green
358,2584.7,green,green,red,red,red,green,green
359,2584.8,green,green,red,red,red,green,green
360,2584.9,green,green,red,red,red,green,green
361,2585,green,green,red,red,red,green,green
362,2585.1,green,green,red,red,red,green,green
363,2585.2,green,green,red,red,red,green,green
364,2585.3,green,green,red,red,red,green,green
365,2585.4,green,green,red,red,red,green,green
366,2585.5,green,green,red,red,red,green,green
367,2585.6,green,green,red,red,red,green,green
368,2585.7,green,green,red,red,red,green,green
369,2585.8,green,green,red,red,red,green,green
370,2585.9,green,green,red,red,red,green,green
371,2586,green,green,red,red,red,green,green
372,2586.1,green,green,red,red,red,green,green
373,2586.2,green,green,red,red,red,green,green
374,2586.3,red,red,green,green,green,red,red
375,2586.4,red,red,green,green,green,red,red
376,2586.5,red,red,green,green,green,red,red
377,2586.6,red,red,green,green,green,red,red
378,2586.7,red,red,green,green,green,red,red
379,2586.8,red,red,green,green,green,red,red
380,2586.9,red,red,green,green,green,red,red
381,2587,red,red,green,green,green,red,red
382,2587.1,red,red,green,green,green,red,red
383,2587.2,red,red,green,green,green,red,red
384,2587.3,green,green,red,red,red,green,green
385,2587.4,green,green,red,red,red,green,green
386,2587.5,green,green,red,red,red,green,green
387,2587.6,green,green,red,red,red,green,green
388,2587.7,green,green,red,red,red,green,green
389,2587.8,green,green,red,red,red,green,green
390,2587.9,green,green,red,red,red,green,green
391,2588,green,green,red,red,red,green,green
392,2588.1,green,green,red,red,red,green,green
393,2588.2,green,green,red,red,red,green,green
394,2588.3,green,green,red,red,red,green,green
395,2588.4,green,green,red,red,red,green,green
396,2588.5,green,green,red,red,red,green,green
397,2588.6,green,green,red,red,red,green,green
398,2588.7,green,green,red,red,red,green,green
399,2588.8,green,green,red,red,red,green,green
400,2588.9,green,green,red,red,red,green,green
401,2589,green,green,red,red,red,green,green
402,2589.1,green,green,red,red,red,green,green
403,2589.2,green,green,red,red,red,green,green
404,2589.3,green,green,red,red,red,green,green
405,2589.4,green,green,red,red,red,green,green
406,2589.5,green,green,red,red,red,green,green
407,2589.6,green,green,red,red,red,green,green
408,2589.7,green,green,red,red,red,green,green
409,2589.8,green,green,red,red,red,green,green
410,2589.9,green,green,red,red,red,green,green
411,2590,green,green,red,red,red,green,green
412,2590.1,green,green,red,red,red,green,green
413,2590.2,green,green,red,red,red,green,green
414,2590.3,green,green,red,red,red,green,green
415,2590.4,green,green,red,red,red,green,green
416,2590.5,green,green,red,red,red,green,green
417,2590.6,green,green,red,red,red,green,green
418,2590.7,green,green,red,red,red,green,green
419,2590.8,green,green,red,red,red,green,green
420,2590.9,green,green,red,red,red,green,green
421,2591,green,green,red,red,red,green,green
422,2591.1,green,green,red,red,red,green,green
423,2591.2,green,green,red,red,red,green,green
424,2591.3,green,green,red,red,red,green,green
425,2591.4,green,green,red,red,red,green,green
426,2591.5,green,green,red,red,red,green,green
427,2591.6,green,green,red,red,red,green,green
428,2591.7,green,green,red,red,red,green,green
429,2591.8,green,green,red,red,red,green,green
430,2591.9,green,green,red,red,red,green,green
431,2592,green,green,red,red,red,green,green
432,2592.1,green,green,red,red,red,green,green
433,2592.2,green,green,red,red,red,green,green
434,2592.3,green,green,red,red,red,green,green
435,2592.4,green,green,red,red,red,green,green
436,2592.5,green,green,red,red,red,green,green
437,2592.6,green,green,red,red,red,green,green
438,2592.7,green,green,red,red,red,green,green
439,2592.8,green,green,red,red,red,green,green
440,2592.9,green,green,red,red,red,green,green
441,2593,green,green,red,red,red,green,green
442,2593.1,green,green,red,red,red,green,green
443,2593.2,green,green,red,red,red,green,green
444,2593.3,green,green,red,red,red,green,green
445,2593.4,green,green,red,red,red,green,green
446,2593.5,green,green,red,red,red,green,green
447,2593.6,green,green,red,red,red,green,green
448,2593.7,green,green,red,red,red,green,green
449,2593.8,green,green,red,red,red,green,green
450,2593.9,green,green,red,red,red,green,green
451,2594,green,green,red,red,red,green,green
452,2594.1,green,green,red,red,red,green,green
453,2594.2,green,green,red,red,red,green,green
454,2594.3,green,green,red,red,red,green,green
455,2594.4,green,green,red,red,red,green,green
456,2594.5,green,green,red,red,red,green,green
457,2594.6,green,green,red,red,red,green,green
458,2594.7,green,green,red,red,red,green,green
459,2594.8,green,green,red,red,red,green,green
460,2594.9,green,green,red,red,red,green,green
461,2595,green,green,red,red,red,green,green
462,2595.1,green,green,red,red,red,green,green
463,2595.2,green,green,red,red,red,green,green
464,2595.3,green,green,red,red,red,green,green
465,2595.4,green,green,red,red,red,green,green
466,2595.5,green,green,red,red,red,green,green
467,2595.6,green,green,red,red,red,green,green
468,2595.7,green,green,red,red,red,green,green
469,2595.8,green,green,red,red,red,green,green
470,2595.9,green,green,red,red,red,green,green
471,2596,green,green,red,red,red,green,green
472,2596.1,green,green,red,red,red,green,green
473,2596.2,green,green,red,red,red,green,green
474,2596.3,green,green,red,red,red,green,green
475,2596.4,green,green,red,red,red,green,green
476,2596.5,green,green,red,red,red,green,green
477,2596.6,green,green,red,red,red,green,green
478,2596.7,green,green,red,red,red,green,green
479,2596.8,green,green,red,red,red,green,green
480,2596.9,green,green,red,red,red,green,green
481,2597,green,green,red,red,red,green,green
482,2597.1,green,green,red,red,red,green,green
483,2597.2,green,green,red,red,red,green,green
484,2597.3,green,green,red,red,red,green,green
485,2597.4,green,green,red,red,red,green,green
486,2597.5,green,green,red,red,red,green,green
487,2597.6,green,green,red,red,red,green,green
488,2597.7,green,green,red,red,red,green,green
489,2597.8,green,green,red,red,red,green,green
490,2597.9,green,green,red,red,red,green,green
491,2598,green,green,red,red,red,green,green
492,2598.1,green,green,red,red,red,green,green
493,2598.2,green,green,red,red,red,green,green
494,2598.3,green,green,red,red,red,green,green
495,2598.4,green,green,red,red,red,green,green
